home_airport_lat,home_airport_lon,destination_airport_lat,destination_airport_lon,home_city,destination,haversine_distance,vincenty_distance
29.384,-98.581,35.393,-97.601,san antonio,oklahoma city,674.8536694402958,672699.41
29.384,-98.581,36.08,-115.152,san antonio,las vegas,1769.7539397072749,1718430.48
29.384,-98.581,36.124,-86.678,san antonio,nashville,1375.362841628386,1341046.47
29.384,-98.581,36.776,-119.718,san antonio,fresno,2206.692547451926,2131047.48
29.384,-98.581,37.362,-121.929,san antonio,san jose,2429.842760447687,2337966.25
29.384,-98.581,37.619,-122.375,san antonio,san francisco,2480.5279991697416,2383575.11
29.384,-98.581,38.228,-85.664,san antonio,louisville,1591.6184659163769,1544106.09
29.384,-98.581,38.852,-77.037,san antonio,washington,2337.7955414937537,2239927.03
29.384,-98.581,39.175,-76.668,san antonio,baltimore,2385.9432125109283,2282834.41
29.384,-98.581,39.717,-86.294,san antonio,indianapolis,1654.454776909943,1604940.87
29.384,-98.581,39.872,-75.241,san antonio,philadelphia,2544.338921316254,2425396.49
29.384,-98.581,39.998,-82.892,san antonio,columbus,1924.4252364303995,1853223.41
29.384,-98.581,40.64,-73.779,san antonio,new york,2709.395449172897,2572279.87
29.384,-98.581,41.786,-87.752,san antonio,chicago,1732.741298398869,1687072.98
29.384,-98.581,42.364,-71.005,san antonio,boston,3036.6630114550694,2857572.15
29.384,-98.581,42.409,-83.01,san antonio,detroit,2091.270108254888,2009655.41
29.384,-98.581,43.173,-79.935,san antonio,hamilton,2369.467834725165,2259066.94
29.384,-98.581,43.862,-79.37,san antonio,toronto,2460.8836019741925,2341448.88
29.384,-98.581,45.323,-75.669,san antonio,ottawa,2840.5630412307964,2675111.6
29.384,-98.581,45.517,-73.417,san antonio,montreal,3026.8873989855315,2836039.19
29.384,-98.581,45.589,-122.597,san antonio,portland,2942.931277941653,2763669.88
29.384,-98.581,46.788,-71.398,san antonio,quebec,3268.2037694994838,3041840.92
29.384,-98.581,47.53,-122.302,san antonio,seattle,3058.262757345916,2866371.99
29.384,-98.581,49.195,-123.182,san antonio,vancouver,3245.5326084494404,3029523.68
29.384,-98.581,50.056,-97.032,san antonio,winnipeg,2303.4140696385784,2298954.74
29.384,-98.581,51.114,-114.02,san antonio,calgary,2841.7215517600744,2734518.35
29.384,-98.581,52.309,4.764,san antonio,amsterdam,10332.213086508307,8314389.76
29.384,-98.581,53.667,-113.467,san antonio,edmonton,3061.0916862755357,2955551.5
29.529,-98.279,29.607,-95.159,san antonio,houston,301.98208516776816,302446.95
29.529,-98.279,30.194,-97.67,san antonio,austin,94.54586696453156,94319.64
29.529,-98.279,30.494,-81.688,san antonio,jacksonville,1608.7482747142788,1602747.66
29.529,-98.279,31.849,-106.38,san antonio,el paso,825.1253442939602,817421.47
29.529,-98.279,32.166,-110.883,san antonio,tucson,1254.1822455185977,1239749.65
29.529,-98.279,32.699,-117.215,san antonio,san diego,1865.6414636942036,1837542.74
29.529,-98.279,32.82,-97.362,san antonio,fort worth,376.5277073229087,375201.38
29.529,-98.279,32.847,-96.852,san antonio,dallas,393.91502975650695,392201.73
29.529,-98.279,33.535,-112.383,san antonio,phoenix,1435.410806868021,1409749.37
29.529,-98.279,33.942,-118.408,san antonio,los angeles,2008.329464978975,1965618.87
